actor_1_name,actor_2_name,actor_3_name,director_name,genres,movie_title,comb
CCH Pounder,Joel David Moore,Wes Studi,James Cameron,Action|Adventure|Fantasy|Sci-Fi,avatar,CCH PounderJoel David MooreWes StudiJames CameronAction|Adventure|Fantasy|Sci-Fi
Johnny Depp,Orlando Bloom,Jack Davenport,Gore Verbinski,Action|Adventure|Fantasy,pirates of the caribbean: at world's end,Johnny DeppOrlando BloomJack DavenportGore VerbinskiAction|Adventure|Fantasy
Christoph Waltz,Rory Kinnear,Stephanie Sigman,Sam Mendes,Action|Adventure|Thriller,spectre,Christoph WaltzRory KinnearStephanie SigmanSam MendesAction|Adventure|Thriller
Tom Hardy,Christian Bale,Joseph Gordon-Levitt,Christopher Nolan,Action|Thriller,the dark knight rises,Tom HardyChristian BaleJoseph Gordon-LevittChristopher NolanAction|Thriller
Doug Walker,Rob Walker,unknown,Doug Walker,Documentary,star wars: episode vii - the force awakens            ,Doug WalkerRob WalkerunknownDoug WalkerDocumentary
Daryl Sabara,Samantha Morton,Polly Walker,Andrew Stanton,Action|Adventure|Sci-Fi,john carter,Daryl SabaraSamantha MortonPolly WalkerAndrew StantonAction|Adventure|Sci-Fi
J.K. Simmons,James Franco,Kirsten Dunst,Sam Raimi,Action|Adventure|Romance,spider-man 3,J.K. SimmonsJames FrancoKirsten DunstSam RaimiAction|Adventure|Romance
Brad Garrett,Donna Murphy,M.C. Gainey,Nathan Greno,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,tangled,Brad GarrettDonna MurphyM.C. GaineyNathan GrenoAdventure|Animation|Comedy|Family|Fantasy|Musical|Romance
Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Joss Whedon,Action|Adventure|Sci-Fi,avengers: age of ultron,Chris HemsworthRobert Downey Jr.Scarlett JohanssonJoss WhedonAction|Adventure|Sci-Fi
Alan Rickman,Daniel Radcliffe,Rupert Grint,David Yates,Adventure|Family|Fantasy|Mystery,harry potter and the half-blood prince,Alan RickmanDaniel RadcliffeRupert GrintDavid YatesAdventure|Family|Fantasy|Mystery
Henry Cavill,Lauren Cohan,Alan D. Purwin,Zack Snyder,Action|Adventure|Sci-Fi,batman v superman: dawn of justice,Henry CavillLauren CohanAlan D. PurwinZack SnyderAction|Adventure|Sci-Fi
Kevin Spacey,Marlon Brando,Frank Langella,Bryan Singer,Action|Adventure|Sci-Fi,superman returns,Kevin SpaceyMarlon BrandoFrank LangellaBryan SingerAction|Adventure|Sci-Fi
Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,Marc Forster,Action|Adventure,quantum of solace,Giancarlo GianniniMathieu AmalricRory KinnearMarc ForsterAction|Adventure
